country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
LU,10,1.266,1.2345,1.2975,"(1.2345, 1.2975)",301
LV,10,1.081,1.0718,1.0902,"(1.0718, 1.0902)",301
NL,10,1.45,1.3939,1.5061,"(1.3939, 1.5061)",301
NO,10,1.018,1.0135,1.0225,"(1.0135, 1.0225)",301
PL,10,1.051,1.0439,1.0581,"(1.0439, 1.0581)",301
PT,10,1.165,1.1523,1.1777,"(1.1523, 1.1777)",301
RO,10,1.278,1.245,1.311,"(1.2450, 1.3110)",301
SE,10,1.083,1.0747,1.0913,"(1.0747, 1.0913)",301
SI,10,1.019,1.0137,1.0243,"(1.0137, 1.0243)",301
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)",301
UK,10,1.417,1.3627,1.4713,"(1.3627, 1.4713)",301
AT,10,1.336,1.2944,1.3776,"(1.2944, 1.3776)",332
BE,10,1.438,1.3619,1.5141,"(1.3619, 1.5141)",332
BG,10,1.33,1.2718,1.3882,"(1.2718, 1.3882)",332
CH,10,1.064,1.0556,1.0724,"(1.0556, 1.0724)",332
CZ,10,1.203,1.1754,1.2306,"(1.1754, 1.2306)",332
DE,10,1.33,1.2656,1.3944,"(1.2656, 1.3944)",332
DK,10,1.245,1.2034,1.2866,"(1.2034, 1.2866)",332
EE,10,1.061,1.0539,1.0681,"(1.0539, 1.0681)",332
EL,10,1.247,1.2119,1.2821,"(1.2119, 1.2821)",332
ES,10,1.218,1.1884,1.2476,"(1.1884, 1.2476)",332
FI,10,1.021,1.0157,1.0263,"(1.0157, 1.0263)",332
FR,10,1.333,1.2942,1.3718,"(1.2942, 1.3718)",332
HR,10,1.205,1.1756,1.2344,"(1.1756, 1.2344)",332
HU,10,1.177,1.1482,1.2058,"(1.1482, 1.2058)",332
IE,10,1.0,,,,332
IT,10,1.204,1.1711,1.2369,"(1.1711, 1.2369)",332
LT,10,1.417,1.3976,1.4364,"(1.3976, 1.4364)",332
LU,10,1.3,1.2503,1.3497,"(1.2503, 1.3497)",332
LV,10,1.09,1.0805,1.0995,"(1.0805, 1.0995)",332
NL,10,1.426,1.3626,1.4894,"(1.3626, 1.4894)",332
NO,10,1.017,1.0087,1.0253,"(1.0087, 1.0253)",332
PL,10,1.048,1.045,1.051,"(1.0450, 1.0510)",332
PT,10,1.187,1.1727,1.2013,"(1.1727, 1.2013)",332
RO,10,1.348,1.2947,1.4013,"(1.2947, 1.4013)",332
SE,10,1.076,1.067,1.085,"(1.0670, 1.0850)",332
SI,10,1.029,1.0192,1.0388,"(1.0192, 1.0388)",332
SK,10,1.01,,,,332
UK,10,1.505,1.4169,1.5931,"(1.4169, 1.5931)",332
AT,10,1.363,1.2894,1.4366,"(1.2894, 1.4366)",362
BE,10,1.71,1.5761,1.8439,"(1.5761, 1.8439)",362
BG,10,1.254,1.2135,1.2945,"(1.2135, 1.2945)",362
CH,10,1.089,1.0717,1.1063,"(1.0717, 1.1063)",362
CZ,10,1.34,1.2695,1.4105,"(1.2695, 1.4105)",362
DE,10,1.59,1.4831,1.6969,"(1.4831, 1.6969)",362
DK,10,1.146,1.079,1.213,"(1.0790, 1.2130)",362
EE,10,1.032,1.019,1.045,"(1.0190, 1.0450)",362
EL,10,1.196,1.169,1.223,"(1.1690, 1.2230)",362
ES,10,1.219,1.1948,1.2432,"(1.1948, 1.2432)",362
FI,10,1.008,1.005,1.011,"(1.0050, 1.0110)",362
FR,10,1.299,1.2289,1.3691,"(1.2289, 1.3691)",362
HR,10,1.148,1.1206,1.1754,"(1.1206, 1.1754)",362
HU,10,1.167,1.1407,1.1933,"(1.1407, 1.1933)",362
IE,10,1.0,,,,362
IT,10,1.097,1.0779,1.1161,"(1.0779, 1.1161)",362
LT,10,1.424,1.3742,1.4738,"(1.3742, 1.4738)",362
LU,10,1.523,1.4366,1.6094,"(1.4366, 1.6094)",362
LV,10,1.068,1.0493,1.0867,"(1.0493, 1.0867)",362
NL,10,1.38,1.2425,1.5175,"(1.2425, 1.5175)",362
NO,10,1.011,1.0057,1.0163,"(1.0057, 1.0163)",362
PL,10,1.042,1.0364,1.0476,"(1.0364, 1.0476)",362
PT,10,1.194,1.1634,1.2246,"(1.1634, 1.2246)",362
RO,10,1.354,1.2799,1.4281,"(1.2799, 1.4281)",362
SE,10,1.031,1.0196,1.0424,"(1.0196, 1.0424)",362
SI,10,1.019,1.0127,1.0253,"(1.0127, 1.0253)",362
SK,10,1.01,1.0066,1.0134,"(1.0066, 1.0134)",362
UK,10,1.357,1.2455,1.4685,"(1.2455, 1.4685)",362
